-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,1,1,1,1,1,2,-1
-1,65,65,65,33,33,33,34,-1
-1,-1,-1,-1,64,33,33,34,-1
-1,-1,-1,-1,-1,32,33,34,-1
-1,-1,-1,-1,-1,32,33,34,-1
-1,-1,-1,-1,-1,32,33,34,-1
-1,-1,-1,-1,0,33,33,34,-1
-1,-1,-1,-1,32,33,33,34,-1
-1,-1,0,1,33,33,33,34,-1
-1,0,33,33,33,33,33,34,-1
-1,32,33,33,33,33,33,34,-1
-1,32,33,33,33,33,33,34,-1
-1,32,33,33,33,65,65,66,-1
-1,64,65,65,66,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,2,-1,-1,-1,0,2,-1
-1,32,33,1,1,1,33,33,-1
-1,33,33,33,33,33,33,34,-1
-1,64,33,33,33,33,33,34,-1
-1,-1,64,65,65,65,33,34,-1
-1,-1,-1,-1,-1,-1,32,34,-1
-1,-1,-1,0,1,1,33,34,-1
-1,-1,0,33,33,33,33,34,-1
-1,0,33,33,33,33,33,34,-1
-1,32,65,65,65,33,33,66,-1
-1,35,-1,-1,-1,64,34,-1,-1
-1,66,-1,-1,-1,-1,35,-1,-1
-1,-1,-1,-1,-1,-1,67,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,1,2,-1,-1,-1,-1,-1
-1,32,33,33,2,-1,-1,-1,-1
-1,32,33,33,33,1,2,-1,-1
-1,32,33,33,33,33,33,34,-1
-1,32,33,33,33,33,33,34,-1
-1,32,33,33,33,33,33,34,-1
-1,64,65,65,65,65,65,66,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,96,97,97,97,97,97,98,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
